Month,Rep,Trt,Trt_Nut,Trt_Shell,Dark,Shell,Algae
0,2,N0SH,0,H,84.81,15.19,0.049
0,2,N0SL,0,L,92.34,7.66,0.075
0,2,NHS0,H,0,96.98,3.02,18.06
0,2,NHSL,H,L,94.8,5.2,18.929
0,2,NHSH,H,H,95.85,4.15,21.38
0,2,NLS0,L,0,97.76,2.24,15.578
0,2,NLSL,L,L,95.71,4.29,18.413
0,2,NLSH,L,H,96.84,3.16,15.321
0,2,PC,0,0,98.1,1.9,0.078
0,2,UC,0,0,97.9,2.1,0.113
0,5,N0SH,0,H,81.48,18.52,0.02
0,5,N0SL,0,L,84.24,15.76,0.01
0,5,NHS0,H,0,96.98,3.02,16.479
0,5,NHSL,H,L,97.21,2.79,21.66
0,5,NHSH,H,H,96.56,3.44,28.518
0,5,NLS0,L,0,95.87,4.13,13.895
0,5,NLSL,L,L,94.33,5.67,22.097
0,5,NLSH,L,H,94.24,5.76,15.317
0,5,PC,0,0,95.26,4.74,0.144
0,5,UC,0,0,96.99,3.01,0.03
0,6,N0SH,0,H,91.8,8.2,0.001
0,6,N0SL,0,L,95.43,4.57,0.00019
0,6,NHS0,H,0,98.73,1.27,25.935
0,6,NHSL,H,L,95.56,4.44,34.001
0,6,NHSH,H,H,91.28,8.72,51.186
0,6,NLS0,L,0,97.63,2.37,32.845
0,6,NLSL,L,L,96.73,3.27,43.288
0,6,NLSH,L,H,93.79,6.21,30.416
0,6,PC,0,0,96.78,3.22,0.024
0,6,UC,0,0,98.37,1.63,0.009
1,2,N0SH,0,H,95.53,4.47,0.181
1,2,N0SL,0,L,96.76,3.24,0.565
1,2,NHS0,H,0,96.95,3.05,1.027
1,2,NHSL,H,L,98.32,1.68,10.591
1,2,NHSH,H,H,95.74,4.26,0.024
1,2,NLS0,L,0,97.62,2.38,1.707
1,2,NLSL,L,L,98.08,1.92,1.219
1,2,NLSH,L,H,98.21,1.79,7.671
1,2,PC,0,0,97.92,2.08,3.249
1,2,UC,0,0,98.09,1.91,3.306
1,5,N0SH,0,H,95.82,4.18,9.305
1,5,N0SL,0,L,95.4,4.6,2.126
1,5,NHS0,H,0,99.11,0.89,2.314
1,5,NHSL,H,L,98.96,1.04,5.515
1,5,NHSH,H,H,94.94,5.06,2.533
1,5,NLS0,L,0,NA,NA,NA
1,5,NLSL,L,L,94.29,5.71,1.821
1,5,NLSH,L,H,94.83,5.17,0.266
1,5,PC,0,0,95.99,4.01,1.312
1,5,UC,0,0,96.32,3.68,0.459
1,6,N0SH,0,H,94.38,5.62,5.883
1,6,N0SL,0,L,95.67,4.33,2.121
1,6,NHS0,H,0,97.18,2.82,5.917
1,6,NHSL,H,L,97.43,2.57,25.694
1,6,NHSH,H,H,96.63,3.37,16.405
1,6,NLS0,L,0,97.31,2.69,7.452
1,6,NLSL,L,L,98.36,1.64,23.883
1,6,NLSH,L,H,93.26,6.74,11.824
1,6,PC,0,0,97.06,2.94,2.225
1,6,UC,0,0,96.27,3.73,0.233
2,2,N0SH,0,H,96.15,3.85,0.048
2,2,N0SL,0,L,95.95,4.05,0.014
2,2,NHS0,H,0,97.33,2.67,0.032
2,2,NHSL,H,L,98.69,1.31,0.909
2,2,NHSH,H,H,90.84,9.16,0.324
2,2,NLS0,L,0,97.72,2.28,0.179
2,2,NLSL,L,L,96.17,3.83,0.099
2,2,NLSH,L,H,97,3,0.123
2,2,PC,0,0,91.64,8.36,0.091
2,2,UC,0,0,96.76,3.24,0.123
2,5,N0SH,0,H,91.81,8.19,1.156
2,5,N0SL,0,L,95.95,4.05,2.093
2,5,NHS0,H,0,95.02,4.98,1.082
2,5,NHSL,H,L,94.57,5.43,3.614
2,5,NHSH,H,H,94.99,5.01,3.093
2,5,NLS0,L,0,94.72,5.28,1.823
2,5,NLSL,L,L,95.49,4.51,3.202
2,5,NLSH,L,H,97.38,2.62,1.973
2,5,PC,0,0,95.62,4.38,1.824
2,5,UC,0,0,93.86,6.14,1.521
2,6,N0SH,0,H,92.37,7.63,0.027
2,6,N0SL,0,L,95.69,4.31,0.01
2,6,NHS0,H,0,92.44,7.56,3.468
2,6,NHSL,H,L,92.4,7.6,1.457
2,6,NHSH,H,H,92.33,7.67,2.373
2,6,NLS0,L,0,93.56,6.44,1.439
2,6,NLSL,L,L,92.25,7.75,1.483
2,6,NLSH,L,H,91.23,8.77,0.498
2,6,PC,0,0,90.99,9.01,1.531
2,6,UC,0,0,91.68,8.32,0.784
