Timing,Water_trt,Water_Rep,Header,Sed_trt,Animal_Rep,Container,Indiv,Comb_Weight,Survival
Start,Acidified,1,1,In,1,1,14,0.247,NA
Start,Acidified,1,1,In,2,2,14,0.239,NA
Start,Acidified,1,1,In,3,3,14,0.209,NA
Start,Acidified,1,1,Out,1,1,14,0.199,NA
Start,Acidified,1,1,Out,2,2,14,0.526,NA
Start,Acidified,1,1,Out,3,3,14,0.37,NA
Start,Acidified,2,3,In,1,7,14,0.246,NA
Start,Acidified,2,3,In,2,8,14,0.193,NA
Start,Acidified,2,3,In,3,9,14,0.224,NA
Start,Acidified,2,3,Out,1,7,14,0.449,NA
Start,Acidified,2,3,Out,2,8,14,0.26,NA
Start,Acidified,2,3,Out,3,9,14,0.219,NA
Start,Acidified,3,8,In,1,22,14,0.241,NA
Start,Acidified,3,8,In,2,23,14,0.316,NA
Start,Acidified,3,8,In,3,24,14,0.286,NA
Start,Acidified,3,8,Out,1,22,14,0.365,NA
Start,Acidified,3,8,Out,2,23,14,0.2,NA
Start,Acidified,3,8,Out,3,24,14,0.249,NA
Start,Control,1,2,In,1,4,14,0.437,NA
Start,Control,1,2,In,2,5,14,0.246,NA
Start,Control,1,2,In,3,6,14,0.33,NA
Start,Control,1,2,Out,1,4,14,0.445,NA
Start,Control,1,2,Out,2,5,14,0.338,NA
Start,Control,1,2,Out,3,6,14,0.237,NA
Start,Control,2,6,In,1,16,14,0.392,NA
Start,Control,2,6,In,2,17,14,0.352,NA
Start,Control,2,6,In,3,18,14,0.321,NA
Start,Control,2,6,Out,1,16,14,0.269,NA
Start,Control,2,6,Out,2,17,14,0.352,NA
Start,Control,2,6,Out,3,18,14,0.324,NA
Start,Control,3,9,In,1,25,14,0.266,NA
Start,Control,3,9,In,2,26,14,0.259,NA
Start,Control,3,9,In,3,27,14,0.629,NA
Start,Control,3,9,Out,1,25,14,0.371,NA
Start,Control,3,9,Out,2,26,14,0.326,NA
Start,Control,3,9,Out,3,27,14,0.3,NA
Start,Variable,1,4,In,1,10,14,0.469,NA
Start,Variable,1,4,In,2,11,14,0.471,NA
Start,Variable,1,4,In,3,12,14,0.483,NA
Start,Variable,1,4,Out,1,10,14,0.312,NA
Start,Variable,1,4,Out,2,11,14,0.22,NA
Start,Variable,1,4,Out,3,12,14,0.349,NA
Start,Variable,2,5,In,1,13,15,0.351,NA
Start,Variable,2,5,In,2,14,14,0.348,NA
Start,Variable,2,5,In,3,15,14,0.383,NA
Start,Variable,2,5,Out,1,13,14,0.394,NA
Start,Variable,2,5,Out,2,14,14,0.39,NA
Start,Variable,2,5,Out,3,15,14,0.415,NA
Start,Variable,3,7,In,1,19,14,0.341,NA
Start,Variable,3,7,In,2,20,14,0.344,NA
Start,Variable,3,7,In,3,21,14,0.4,NA
Start,Variable,3,7,Out,1,19,14,0.348,NA
Start,Variable,3,7,Out,2,20,14,0.24,NA
Start,Variable,3,7,Out,3,21,14,0.41,NA
End,Acidified,1,1,In,1,1,11,0.37,0.785714286
End,Acidified,1,1,In,2,2,11,0.303,0.785714286
End,Acidified,1,1,In,3,3,6,0.254,0.428571429
End,Acidified,1,1,Out,1,1,14,0.23,1
End,Acidified,1,1,Out,2,2,14,0.72,1
End,Acidified,1,1,Out,3,3,14,0.53,1
End,Acidified,2,3,In,1,7,6,0.355,0.428571429
End,Acidified,2,3,In,2,8,13,0.33,0.928571429
End,Acidified,2,3,In,3,9,8,0.311,0.571428571
End,Acidified,2,3,Out,1,7,14,0.62,1
End,Acidified,2,3,Out,2,8,12,0.36,0.857142857
End,Acidified,2,3,Out,3,9,14,0.33,1
End,Acidified,3,8,In,1,22,10,0.32,0.714285714
End,Acidified,3,8,In,2,23,14,0.491,1
End,Acidified,3,8,In,3,24,1,0.262,0.071428571
End,Acidified,3,8,Out,1,22,14,0.41,1
End,Acidified,3,8,Out,2,23,14,0.3,1
End,Acidified,3,8,Out,3,24,9,0.51,0.642857143
End,Control,1,2,In,1,4,14,0.56,1
End,Control,1,2,In,2,5,14,0.526,1
End,Control,1,2,In,3,6,14,0.644,1
End,Control,1,2,Out,1,4,14,0.38,1
End,Control,1,2,Out,2,5,14,0.24,1
End,Control,1,2,Out,3,6,14,0.49,1
End,Control,2,6,In,1,16,14,0.725,1
End,Control,2,6,In,2,17,14,0.764,1
End,Control,2,6,In,3,18,14,0.483,1
End,Control,2,6,Out,1,16,14,0.314,1
End,Control,2,6,Out,2,17,13,0.33,0.928571429
End,Control,2,6,Out,3,18,10,0.366,0.714285714
End,Control,3,9,In,1,25,8,0.277,0.571428571
End,Control,3,9,In,2,26,14,0.225,1
End,Control,3,9,In,3,27,13,0.643,0.928571429
End,Control,3,9,Out,1,25,14,0.5,1
End,Control,3,9,Out,2,26,14,0.51,1
End,Control,3,9,Out,3,27,12,0.42,0.857142857
End,Variable,1,4,In,1,10,13,0.809,0.928571429
End,Variable,1,4,In,2,11,15,0.713,1.071428571
End,Variable,1,4,In,3,12,14,0.665,1
End,Variable,1,4,Out,1,10,14,0.47,1
End,Variable,1,4,Out,2,11,13,0.4,0.928571429
End,Variable,1,4,Out,3,12,14,0.41,1
End,Variable,2,5,In,1,13,13,0.529,0.866666667
End,Variable,2,5,In,2,14,14,0.416,1
End,Variable,2,5,In,3,15,14,0.538,1
End,Variable,2,5,Out,1,13,13,0.38,0.928571429
End,Variable,2,5,Out,2,14,14,0.469,1
End,Variable,2,5,Out,3,15,14,0.46,1
End,Variable,3,7,In,1,19,14,0.438,1
End,Variable,3,7,In,2,20,14,0.571,1
End,Variable,3,7,In,3,21,14,0.622,1
End,Variable,3,7,Out,1,19,14,0.479,1
End,Variable,3,7,Out,2,20,12,0.453,0.857142857
End,Variable,3,7,Out,3,21,11,0.325,0.785714286
