Date,Time,Water_Trt,Water_Rep,Header,pH_handheld,animal,sample,volume,sediment_pH,sed_pH_adjust
8/22/2019,800,Acidified,1,1,7.75,Clam 1,1,0.5,7.22,7.25
8/22/2019,800,Acidified,1,1,7.75,Clam 1,2,0.5,7.34,7.37
8/22/2019,800,Control ,1,2,7.9,Coro L1,1,NA,NA,NA
8/22/2019,800,Control ,1,2,7.9,Coro L1,2,2,7.3,7.33
8/22/2019,800,Acidified,2,3,7.77,Coro L2,1,0.5,7.26,7.29
8/22/2019,800,Acidified,2,3,7.77,Coro L2,2,0.5,7.12,7.15
8/22/2019,800,Variable,1,4,7.66,Clam 3,1,0.5,7.23,7.26
8/22/2019,800,Variable,1,4,7.66,Clam 3,2,0.5,7.28,7.31
8/22/2019,800,Variable,2,5,7.66,Coro U3,1,NA,NA,NA
8/22/2019,800,Variable,2,5,7.66,Coro U3,2,0.5,7.24,7.27
8/22/2019,800,Control ,2,6,7.91,Coro U2,1,0.5,7.33,7.36
8/22/2019,800,Control ,2,6,7.91,Coro U2,2,0.5,7.26,7.29
8/22/2019,800,Variable,3,7,7.62,Coro L3,1,0.5,6.86,6.89
8/22/2019,800,Variable,3,7,7.62,Coro L3,2,0.5,6.96,6.99
8/22/2019,800,Acidified,3,8,7.75,Coro U1,1,0.5,7.19,7.22
8/22/2019,800,Acidified,3,8,7.75,Coro U1,2,1,7.45,7.48
8/22/2019,800,Control ,3,9,7.9,Clam 2,1,0.5,7.19,7.22
8/22/2019,800,Control ,3,9,7.9,Clam 2,2,0.5,7.11,7.14
