Container,Treatment,num_start,num_recov,clam_mort,clam_surv,weigh_start,weigh_end,chang_weigh,leng_start,leng_final,leng_chang
1,Acidified,25,24,0.04,0.96,1.12,1.58,29.11392405,7.3375,10.132,0.380851789
3,Acidified,25,25,0,1,0.4,0.69,42.02898551,5.412,5.036,-0.06947524
5,Acidified,25,11,0.56,0.44,0.18,0.24,25,3.809090909,3.572,-0.062243437
7,Acidified,25,17,0.32,0.68,0.11,0.18,38.88888889,3.547058824,3.012,-0.150845771
9,Acidified,25,14,0.44,0.56,0.18,0.26,30.76923077,3.742857143,3.644,-0.026412214
11,Acidified,25,21,0.16,0.84,0.11,0.19,42.10526316,3.904761905,2.912,-0.254243902
34,Acidified,25,24,0.04,0.96,2.48,2.91,14.7766323,10.08333333,9.488,-0.059041322
36,Acidified,25,21,0.16,0.84,4.24,4.25,0.235294118,12.04761905,12.112,0.005343874
38,Acidified,25,21,0.16,0.84,0.81,1.05,22.85714286,7.333333333,6.596,-0.100545455
40,Acidified,25,25,0,1,2.07,2.77,25.27075812,9.28,9.34,0.006465517
42,Control,25,24,0.04,0.96,1.98,2.64,25,9.666666667,9.384,-0.029241379
45,Control,25,20,0.2,0.8,1.34,1.49,10.06711409,8.65,8.452,-0.022890173
47,Control,25,22,0.12,0.88,0.22,0.31,29.03225806,4.772727273,3.872,-0.18872381
49,Control,25,25,0,1,0.43,0.67,35.82089552,6.2,5.164,-0.167096774
53,Control,25,24,0.04,0.96,0.87,1.39,37.41007194,8,6.704,-0.162
56,Control,25,22,0.12,0.88,0.37,0.53,30.18867925,4.872727273,4.644,-0.046940299
57,Control,25,13,0.48,0.52,0.18,0.2,10,3.915384615,3.62,-0.075442043
62,Control,25,25,0,1,0.26,0.37,29.72972973,6.461538462,4.36,-0.325238095
65,Control,25,21,0.16,0.84,0.62,0.9,31.11111111,4.523809524,5.916,0.307747368
70,Control,25,24,0.04,0.96,0.63,0.9,30,9.233333333,5.884,-0.362743682
