Treatment,Species,Container,Depth,Point,pH
Acidified,Corophium,26,0,A,7.37
Acidified,Corophium,26,1,A,7.4
Acidified,Corophium,26,2,A,7.37
Acidified,Corophium,26,3,A,7.3
Acidified,Corophium,26,4,A,7.3
Acidified,Corophium,26,0,B,7.42
Acidified,Corophium,26,1,B,7.42
Acidified,Corophium,26,2,B,7.43
Acidified,Corophium,26,3,B,7.44
Acidified,Corophium,26,4,B,7.43
Acidified,Corophium,26,0,C,7.22
Acidified,Corophium,26,1,C,7.18
Acidified,Corophium,26,2,C,7.14
Acidified,Corophium,26,3,C,7.12
Acidified,Corophium,26,4,C,7.11
Control,Clam,49,0,A,7.82
Control,Clam,49,1,A,7.76
Control,Clam,49,2,A,7.72
Control,Clam,49,3,A,7.72
Control,Clam,49,4,A,7.67
Control,Clam,49,0,B,7.67
Control,Clam,49,1,B,7.67
Control,Clam,49,2,B,7.64
Control,Clam,49,3,B,7.61
Control,Clam,49,4,B,7.57
Control,Clam,49,0,C,7.63
Control,Clam,49,1,C,7.49
Control,Clam,49,2,C,7.45
Control,Clam,49,3,C,7.45
Control,Clam,49,4,C,7.45
Acidified,Snail,12,0,A,7.06
Acidified,Snail,12,1,A,7.02
Acidified,Snail,12,2,A,6.95
Acidified,Snail,12,3,A,6.86
Acidified,Snail,12,4,A,6.84
Acidified,Snail,12,0,B,6.97
Acidified,Snail,12,1,B,6.83
Acidified,Snail,12,2,B,6.79
Acidified,Snail,12,3,B,6.72
Acidified,Snail,12,4,B,6.72
Acidified,Snail,12,0,C,6.96
Acidified,Snail,12,1,C,6.94
Acidified,Snail,12,2,C,6.9
Acidified,Snail,12,3,C,6.89
Acidified,Snail,12,4,C,6.89
Control,Snail,79,0,A,7.07
Control,Snail,79,1,A,7.04
Control,Snail,79,2,A,6.97
Control,Snail,79,3,A,6.91
Control,Snail,79,4,A,6.89
Control,Snail,79,0,B,7.07
Control,Snail,79,1,B,6.9
Control,Snail,79,2,B,6.88
Control,Snail,79,3,B,6.86
Control,Snail,79,4,B,6.85
Control,Snail,79,0,C,7.2
Control,Snail,79,1,C,7.05
Control,Snail,79,2,C,7.05
Control,Snail,79,3,C,7.05
Control,Snail,79,4,C,7.04
Acidified,Clam,34,0,A,7.16
Acidified,Clam,34,1,A,7.07
Acidified,Clam,34,2,A,7.03
Acidified,Clam,34,3,A,6.98
Acidified,Clam,34,4,A,6.97
Acidified,Clam,34,0,B,7.23
Acidified,Clam,34,1,B,7.14
Acidified,Clam,34,2,B,7.06
Acidified,Clam,34,3,B,7.05
Acidified,Clam,34,4,B,7.04
Acidified,Clam,34,0,C,7.08
Acidified,Clam,34,1,C,7.06
Acidified,Clam,34,2,C,6.95
Acidified,Clam,34,3,C,6.91
Acidified,Clam,34,4,C,6.88
Control,Corophium,41,0,A,7.44
Control,Corophium,41,1,A,7.38
Control,Corophium,41,2,A,7.32
Control,Corophium,41,3,A,7.29
Control,Corophium,41,4,A,7.29
Control,Corophium,41,0,B,7.53
Control,Corophium,41,1,B,7.38
Control,Corophium,41,2,B,7.3
Control,Corophium,41,3,B,7.27
Control,Corophium,41,4,B,7.3
Control,Corophium,41,0,C,7.44
Control,Corophium,41,1,C,7.45
Control,Corophium,41,2,C,7.31
Control,Corophium,41,3,C,7.21
Control,Corophium,41,4,C,7.22
Acidified,Clam,11,0,A,7.05
Acidified,Clam,11,1,A,6.88
Acidified,Clam,11,2,A,6.78
Acidified,Clam,11,3,A,6.76
Acidified,Clam,11,4,A,6.72
Acidified,Clam,11,0,B,7.12
Acidified,Clam,11,1,B,7.09
Acidified,Clam,11,2,B,7
Acidified,Clam,11,3,B,6.96
Acidified,Clam,11,4,B,6.85
Acidified,Clam,11,0,C,7.26
Acidified,Clam,11,1,C,7.08
Acidified,Clam,11,2,C,6.92
Acidified,Clam,11,3,C,6.78
Acidified,Clam,11,4,C,6.73
Control,Clam,65,0,A,7.27
Control,Clam,65,1,A,7.25
Control,Clam,65,2,A,6.89
Control,Clam,65,3,A,6.78
Control,Clam,65,4,A,6.81
Control,Clam,65,0,B,7.53
Control,Clam,65,1,B,7.4
Control,Clam,65,2,B,7.27
Control,Clam,65,3,B,7.1
Control,Clam,65,4,B,7.06
Control,Clam,65,0,C,7.29
Control,Clam,65,1,C,7.23
Control,Clam,65,2,C,7.13
Control,Clam,65,3,C,7
Control,Clam,65,4,C,6.93
Acidified,Corophium,10,0,A,7.49
Acidified,Corophium,10,1,A,7.34
Acidified,Corophium,10,2,A,7.28
Acidified,Corophium,10,3,A,7.23
Acidified,Corophium,10,4,A,7.23
Acidified,Corophium,10,0,B,7.75
Acidified,Corophium,10,1,B,7.63
Acidified,Corophium,10,2,B,7.57
Acidified,Corophium,10,3,B,7.52
Acidified,Corophium,10,4,B,7.29
Acidified,Corophium,10,0,C,7.44
Acidified,Corophium,10,1,C,7.37
Acidified,Corophium,10,2,C,7.24
Acidified,Corophium,10,3,C,7.16
Acidified,Corophium,10,4,C,7.09
Control,Corophium,58,0,A,7.91
Control,Corophium,58,1,A,7.92
Control,Corophium,58,2,A,7.86
Control,Corophium,58,3,A,7.67
Control,Corophium,58,4,A,7.64
Control,Corophium,58,0,B,7.97
Control,Corophium,58,1,B,7.9
Control,Corophium,58,2,B,7.82
Control,Corophium,58,3,B,7.74
Control,Corophium,58,4,B,7.68
Control,Corophium,58,0,C,7.61
Control,Corophium,58,1,C,7.43
Control,Corophium,58,2,C,7.34
Control,Corophium,58,3,C,7.29
Control,Corophium,58,4,C,7.28
